epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.9565,1.51096,2.99502,0.97058,0.8389,0.57175,0.62165,0.37642,1.228,1.52335,0.90322,0.000664444,0.000664444,0.000664444
2,137.72,1.34284,1.40236,0.92771,0.83202,0.61251,0.67848,0.40639,1.21954,1.03474,0.88411,0.00133107,0.00133107,0.00133107
3,202.228,1.31199,1.04853,0.9285,0.71687,0.61418,0.54167,0.33067,1.10477,0.99198,0.85764,0.00199756,0.00199756,0.00199756
4,265.951,1.22911,0.84754,0.91009,0.8902,0.65438,0.72509,0.46741,1.04471,0.67827,0.86138,0.00199951,0.00199951,0.00199951
5,329.888,1.18509,0.74353,0.89259,0.9098,0.70408,0.75309,0.47303,1.01993,0.61702,0.84654,0.00199913,0.00199913,0.00199913
6,393.993,1.20912,0.71597,0.89126,0.87427,0.65225,0.72426,0.44424,1.07816,0.65863,0.8656,0.00199864,0.00199864,0.00199864
7,458.294,1.13006,0.67367,0.88166,0.84051,0.69146,0.69438,0.41057,1.08352,0.74619,0.85421,0.00199805,0.00199805,0.00199805
8,522.235,1.13215,0.65406,0.87993,0.58128,0.7024,0.48915,0.29978,0.94644,2.13544,0.83477,0.00199734,0.00199734,0.00199734
9,586.324,1.09003,0.63979,0.87807,0.93305,0.63806,0.76136,0.49549,0.99201,0.60594,0.84151,0.00199653,0.00199653,0.00199653
10,650.532,1.10025,0.62969,0.877,0.82793,0.69012,0.70151,0.44566,0.98268,0.60502,0.85448,0.00199561,0.00199561,0.00199561
11,714.617,1.09346,0.62161,0.88279,0.84921,0.67337,0.70416,0.46639,0.92743,0.61657,0.83092,0.00199458,0.00199458,0.00199458
12,796.329,1.09533,0.60782,0.87301,0.89871,0.72027,0.8091,0.52409,0.98883,0.54073,0.83749,0.00199344,0.00199344,0.00199344
13,860.522,1.04354,0.57067,0.86622,0.91624,0.68403,0.76249,0.52189,0.8927,0.51852,0.82252,0.00199219,0.00199219,0.00199219
14,924.225,1.04101,0.56954,0.86246,0.94589,0.66367,0.79961,0.52425,0.96763,0.52254,0.83183,0.00199084,0.00199084,0.00199084
15,987.849,1.05276,0.58333,0.86285,0.91101,0.69347,0.78088,0.52547,0.93425,0.49357,0.829,0.00198938,0.00198938,0.00198938
